2025-11-13 22:49:55,178 [INFO] online_logger: 2025-11-13 22:49:55 | Window=0 | Trial=51 | tx_power_dbm=21.79 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:00:09,777 [INFO] online_logger: 2025-11-13 23:00:09 | Window=0 | Trial=69 | tx_power_dbm=21.55 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:00:24,997 [INFO] online_logger: 2025-11-14 01:06:07 | Window=0 | Trial=69 | Throughput_p50=188.584 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:01:05,959 [INFO] online_logger: 2025-11-13 23:01:05 | Window=0 | Trial=70 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=20
2025-11-13 23:01:21,054 [INFO] online_logger: 2025-11-14 01:17:19 | Window=0 | Trial=70 | Throughput_p50=94.576 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:02:17,326 [INFO] online_logger: 2025-11-13 23:02:17 | Window=0 | Trial=71 | tx_power_dbm=22.09 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:02:32,667 [INFO] online_logger: 2025-11-14 01:31:39 | Window=0 | Trial=71 | Throughput_p50=188.690 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:03:14,277 [INFO] online_logger: 2025-11-13 23:03:14 | Window=0 | Trial=73 | tx_power_dbm=30.00 | obss_pd_dbm=-73.73 | ch_width=40
2025-11-13 23:03:29,183 [INFO] online_logger: 2025-11-14 01:42:57 | Window=0 | Trial=73 | Throughput_p50=186.998 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:06:04,767 [INFO] online_logger: 2025-11-13 23:06:04 | Window=1 | Trial=51 | tx_power_dbm=26.00 | obss_pd_dbm=-63.36 | ch_width=40
2025-11-13 23:06:18,448 [INFO] online_logger: 2025-11-14 02:16:48 | Window=1 | Trial=51 | Throughput_p50=188.887 | Retry_p95=0.112 | Client_flags=0.000
2025-11-13 23:07:02,546 [INFO] online_logger: 2025-11-13 23:07:02 | Window=1 | Trial=52 | tx_power_dbm=26.00 | obss_pd_dbm=-65.25 | ch_width=40
2025-11-13 23:07:17,302 [INFO] online_logger: 2025-11-14 02:28:34 | Window=1 | Trial=52 | Throughput_p50=188.574 | Retry_p95=4.968 | Client_flags=0.000
2025-11-13 23:07:59,145 [INFO] online_logger: 2025-11-13 23:07:59 | Window=1 | Trial=53 | tx_power_dbm=17.00 | obss_pd_dbm=-95.00 | ch_width=20
2025-11-13 23:08:14,506 [INFO] online_logger: 2025-11-14 02:40:01 | Window=1 | Trial=53 | Throughput_p50=24.975 | Retry_p95=99.900 | Client_flags=0.510
2025-11-13 23:09:11,228 [INFO] online_logger: 2025-11-13 23:09:11 | Window=1 | Trial=54 | tx_power_dbm=17.00 | obss_pd_dbm=-95.00 | ch_width=40
2025-11-13 23:09:26,281 [INFO] online_logger: 2025-11-14 02:54:22 | Window=1 | Trial=54 | Throughput_p50=44.056 | Retry_p95=99.900 | Client_flags=0.539
2025-11-13 23:10:23,071 [INFO] online_logger: 2025-11-13 23:10:23 | Window=1 | Trial=55 | tx_power_dbm=17.00 | obss_pd_dbm=-93.73 | ch_width=40
2025-11-13 23:10:38,133 [INFO] online_logger: 2025-11-14 03:08:44 | Window=1 | Trial=55 | Throughput_p50=43.023 | Retry_p95=99.900 | Client_flags=0.543
2025-11-13 23:11:35,002 [INFO] online_logger: 2025-11-13 23:11:35 | Window=1 | Trial=56 | tx_power_dbm=17.00 | obss_pd_dbm=-93.91 | ch_width=20
2025-11-13 23:11:50,047 [INFO] online_logger: 2025-11-14 03:23:07 | Window=1 | Trial=56 | Throughput_p50=24.734 | Retry_p95=99.900 | Client_flags=0.510
2025-11-13 23:12:47,120 [INFO] online_logger: 2025-11-13 23:12:47 | Window=1 | Trial=57 | tx_power_dbm=26.00 | obss_pd_dbm=-64.15 | ch_width=40
2025-11-13 23:13:02,349 [INFO] online_logger: 2025-11-14 03:37:35 | Window=1 | Trial=57 | Throughput_p50=188.750 | Retry_p95=0.470 | Client_flags=0.000
2025-11-13 23:13:44,654 [INFO] online_logger: 2025-11-13 23:13:44 | Window=1 | Trial=58 | tx_power_dbm=17.00 | obss_pd_dbm=-93.13 | ch_width=40
2025-11-13 23:13:59,833 [INFO] online_logger: 2025-11-14 03:49:05 | Window=1 | Trial=58 | Throughput_p50=43.923 | Retry_p95=99.900 | Client_flags=0.539
2025-11-13 23:14:57,439 [INFO] online_logger: 2025-11-13 23:14:57 | Window=1 | Trial=59 | tx_power_dbm=17.00 | obss_pd_dbm=-90.89 | ch_width=40
2025-11-13 23:15:12,681 [INFO] online_logger: 2025-11-14 04:03:39 | Window=1 | Trial=59 | Throughput_p50=44.066 | Retry_p95=99.900 | Client_flags=0.543
2025-11-13 23:16:09,846 [INFO] online_logger: 2025-11-13 23:16:09 | Window=1 | Trial=60 | tx_power_dbm=17.00 | obss_pd_dbm=-91.43 | ch_width=20
2025-11-13 23:16:24,558 [INFO] online_logger: 2025-11-14 04:18:01 | Window=1 | Trial=60 | Throughput_p50=24.711 | Retry_p95=99.900 | Client_flags=0.510
2025-11-13 23:17:20,870 [INFO] online_logger: 2025-11-13 23:17:20 | Window=1 | Trial=61 | tx_power_dbm=17.00 | obss_pd_dbm=-91.96 | ch_width=40
2025-11-13 23:17:35,604 [INFO] online_logger: 2025-11-14 04:32:14 | Window=1 | Trial=61 | Throughput_p50=44.713 | Retry_p95=99.900 | Client_flags=0.538
2025-11-13 23:18:31,978 [INFO] online_logger: 2025-11-13 23:18:31 | Window=1 | Trial=62 | tx_power_dbm=17.00 | obss_pd_dbm=-89.80 | ch_width=20
2025-11-13 23:18:46,811 [INFO] online_logger: 2025-11-14 04:46:28 | Window=1 | Trial=62 | Throughput_p50=24.793 | Retry_p95=99.900 | Client_flags=0.518
2025-11-13 23:21:19,027 [INFO] online_logger: 2025-11-13 23:21:19 | Window=2 | Trial=51 | tx_power_dbm=26.00 | obss_pd_dbm=-68.67 | ch_width=40
2025-11-13 23:21:32,639 [INFO] online_logger: 2025-11-14 05:19:38 | Window=2 | Trial=51 | Throughput_p50=188.347 | Retry_p95=14.053 | Client_flags=0.000
2025-11-13 23:22:15,556 [INFO] online_logger: 2025-11-13 23:22:15 | Window=2 | Trial=53 | tx_power_dbm=27.60 | obss_pd_dbm=-68.10 | ch_width=40
2025-11-13 23:22:30,310 [INFO] online_logger: 2025-11-14 05:31:10 | Window=2 | Trial=53 | Throughput_p50=188.392 | Retry_p95=0.229 | Client_flags=0.000
2025-11-13 23:23:25,895 [INFO] online_logger: 2025-11-13 23:23:25 | Window=2 | Trial=54 | tx_power_dbm=26.54 | obss_pd_dbm=-68.54 | ch_width=40
2025-11-13 23:23:40,738 [INFO] online_logger: 2025-11-14 05:45:16 | Window=2 | Trial=54 | Throughput_p50=188.378 | Retry_p95=4.441 | Client_flags=0.000
2025-11-13 23:24:36,284 [INFO] online_logger: 2025-11-13 23:24:36 | Window=2 | Trial=55 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=20
2025-11-13 23:24:51,175 [INFO] online_logger: 2025-11-14 05:59:21 | Window=2 | Trial=55 | Throughput_p50=94.574 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:25:48,119 [INFO] online_logger: 2025-11-13 23:25:48 | Window=2 | Trial=57 | tx_power_dbm=30.00 | obss_pd_dbm=-67.02 | ch_width=40
2025-11-13 23:26:02,949 [INFO] online_logger: 2025-11-14 06:13:42 | Window=2 | Trial=57 | Throughput_p50=188.501 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:26:59,205 [INFO] online_logger: 2025-11-13 23:26:59 | Window=2 | Trial=58 | tx_power_dbm=26.38 | obss_pd_dbm=-68.60 | ch_width=40
2025-11-13 23:27:14,431 [INFO] online_logger: 2025-11-14 06:28:00 | Window=2 | Trial=58 | Throughput_p50=188.380 | Retry_p95=6.084 | Client_flags=0.000
2025-11-13 23:28:10,294 [INFO] online_logger: 2025-11-13 23:28:10 | Window=2 | Trial=59 | tx_power_dbm=28.42 | obss_pd_dbm=-68.66 | ch_width=40
2025-11-13 23:28:25,230 [INFO] online_logger: 2025-11-14 06:42:10 | Window=2 | Trial=59 | Throughput_p50=188.425 | Retry_p95=0.112 | Client_flags=0.000
2025-11-13 23:29:21,312 [INFO] online_logger: 2025-11-13 23:29:21 | Window=2 | Trial=60 | tx_power_dbm=26.30 | obss_pd_dbm=-68.48 | ch_width=40
2025-11-13 23:29:36,301 [INFO] online_logger: 2025-11-14 06:56:22 | Window=2 | Trial=60 | Throughput_p50=188.347 | Retry_p95=7.682 | Client_flags=0.000
2025-11-13 23:30:32,279 [INFO] online_logger: 2025-11-13 23:30:32 | Window=2 | Trial=61 | tx_power_dbm=26.27 | obss_pd_dbm=-68.48 | ch_width=40
2025-11-13 23:30:47,322 [INFO] online_logger: 2025-11-14 07:10:35 | Window=2 | Trial=61 | Throughput_p50=188.364 | Retry_p95=8.455 | Client_flags=0.000
2025-11-13 23:31:43,426 [INFO] online_logger: 2025-11-13 23:31:43 | Window=2 | Trial=62 | tx_power_dbm=26.24 | obss_pd_dbm=-68.48 | ch_width=40
2025-11-13 23:31:58,568 [INFO] online_logger: 2025-11-14 07:24:50 | Window=2 | Trial=62 | Throughput_p50=188.349 | Retry_p95=9.192 | Client_flags=0.000
2025-11-13 23:32:55,491 [INFO] online_logger: 2025-11-13 23:32:55 | Window=2 | Trial=64 | tx_power_dbm=29.26 | obss_pd_dbm=-65.35 | ch_width=20
2025-11-13 23:33:10,345 [INFO] online_logger: 2025-11-14 07:39:11 | Window=2 | Trial=64 | Throughput_p50=94.307 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:35:04,063 [INFO] online_logger: 2025-11-13 23:35:04 | Window=3 | Trial=51 | tx_power_dbm=23.74 | obss_pd_dbm=-64.15 | ch_width=40
2025-11-13 23:35:18,625 [INFO] online_logger: 2025-11-14 08:04:50 | Window=3 | Trial=51 | Throughput_p50=188.603 | Retry_p95=47.078 | Client_flags=0.000
2025-11-13 23:35:59,736 [INFO] online_logger: 2025-11-13 23:35:59 | Window=3 | Trial=52 | tx_power_dbm=19.67 | obss_pd_dbm=-62.00 | ch_width=20
2025-11-13 23:36:14,955 [INFO] online_logger: 2025-11-14 08:16:06 | Window=3 | Trial=52 | Throughput_p50=94.407 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:36:56,244 [INFO] online_logger: 2025-11-13 23:36:56 | Window=3 | Trial=53 | tx_power_dbm=25.33 | obss_pd_dbm=-74.08 | ch_width=40
2025-11-13 23:37:11,035 [INFO] online_logger: 2025-11-14 08:27:19 | Window=3 | Trial=53 | Throughput_p50=186.598 | Retry_p95=81.134 | Client_flags=0.005
2025-11-13 23:38:08,973 [INFO] online_logger: 2025-11-13 23:38:08 | Window=3 | Trial=54 | tx_power_dbm=25.38 | obss_pd_dbm=-72.98 | ch_width=40
2025-11-13 23:38:23,831 [INFO] online_logger: 2025-11-14 08:41:53 | Window=3 | Trial=54 | Throughput_p50=187.336 | Retry_p95=64.866 | Client_flags=0.004
2025-11-13 23:39:21,198 [INFO] online_logger: 2025-11-13 23:39:21 | Window=3 | Trial=55 | tx_power_dbm=25.99 | obss_pd_dbm=-70.12 | ch_width=20
2025-11-13 23:39:36,131 [INFO] online_logger: 2025-11-14 08:56:20 | Window=3 | Trial=55 | Throughput_p50=94.165 | Retry_p95=14.783 | Client_flags=0.000
2025-11-13 23:40:33,315 [INFO] online_logger: 2025-11-13 23:40:33 | Window=3 | Trial=56 | tx_power_dbm=25.92 | obss_pd_dbm=-73.31 | ch_width=40
2025-11-13 23:40:47,057 [INFO] online_logger: 2025-11-14 09:10:31 | Window=3 | Trial=56 | Throughput_p50=187.167 | Retry_p95=40.127 | Client_flags=0.001
2025-11-13 23:41:42,393 [INFO] online_logger: 2025-11-13 23:41:42 | Window=3 | Trial=57 | tx_power_dbm=25.18 | obss_pd_dbm=-73.62 | ch_width=40
2025-11-13 23:41:56,067 [INFO] online_logger: 2025-11-14 09:24:20 | Window=3 | Trial=57 | Throughput_p50=186.903 | Retry_p95=83.627 | Client_flags=0.007
2025-11-13 23:42:50,828 [INFO] online_logger: 2025-11-13 23:42:50 | Window=3 | Trial=58 | tx_power_dbm=25.78 | obss_pd_dbm=-74.55 | ch_width=40
2025-11-13 23:43:04,596 [INFO] online_logger: 2025-11-14 09:38:02 | Window=3 | Trial=58 | Throughput_p50=186.336 | Retry_p95=68.056 | Client_flags=0.001
2025-11-13 23:43:59,600 [INFO] online_logger: 2025-11-13 23:43:59 | Window=3 | Trial=59 | tx_power_dbm=17.00 | obss_pd_dbm=-64.01 | ch_width=40
2025-11-13 23:44:13,277 [INFO] online_logger: 2025-11-14 09:51:46 | Window=3 | Trial=59 | Throughput_p50=186.284 | Retry_p95=98.457 | Client_flags=0.012
2025-11-13 23:45:09,103 [INFO] online_logger: 2025-11-13 23:45:09 | Window=3 | Trial=60 | tx_power_dbm=25.99 | obss_pd_dbm=-65.33 | ch_width=20
2025-11-13 23:45:22,921 [INFO] online_logger: 2025-11-14 10:05:42 | Window=3 | Trial=60 | Throughput_p50=94.312 | Retry_p95=6.291 | Client_flags=0.000
2025-11-13 23:46:04,323 [INFO] online_logger: 2025-11-13 23:46:04 | Window=3 | Trial=61 | tx_power_dbm=25.32 | obss_pd_dbm=-70.22 | ch_width=40
2025-11-13 23:46:18,177 [INFO] online_logger: 2025-11-14 10:16:45 | Window=3 | Trial=61 | Throughput_p50=188.226 | Retry_p95=49.347 | Client_flags=0.006
2025-11-13 23:47:13,981 [INFO] online_logger: 2025-11-13 23:47:13 | Window=3 | Trial=62 | tx_power_dbm=25.98 | obss_pd_dbm=-79.59 | ch_width=20
2025-11-13 23:47:27,803 [INFO] online_logger: 2025-11-14 10:30:40 | Window=3 | Trial=62 | Throughput_p50=60.379 | Retry_p95=84.900 | Client_flags=0.001
2025-11-13 23:48:23,479 [INFO] online_logger: 2025-11-13 23:48:23 | Window=3 | Trial=63 | tx_power_dbm=25.99 | obss_pd_dbm=-90.81 | ch_width=20
2025-11-13 23:48:37,263 [INFO] online_logger: 2025-11-14 10:44:34 | Window=3 | Trial=63 | Throughput_p50=55.089 | Retry_p95=86.798 | Client_flags=0.000
2025-11-13 23:50:10,103 [INFO] online_logger: 2025-11-13 23:50:10 | Window=4 | Trial=51 | tx_power_dbm=17.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:50:24,341 [INFO] online_logger: 2025-11-14 11:05:59 | Window=4 | Trial=51 | Throughput_p50=186.918 | Retry_p95=3.131 | Client_flags=0.000
2025-11-13 23:51:21,559 [INFO] online_logger: 2025-11-13 23:51:21 | Window=4 | Trial=96 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:51:35,579 [INFO] online_logger: 2025-11-14 11:20:14 | Window=4 | Trial=96 | Throughput_p50=189.148 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:52:31,153 [INFO] online_logger: 2025-11-13 23:52:31 | Window=4 | Trial=100 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:52:45,302 [INFO] online_logger: 2025-11-14 11:34:10 | Window=4 | Trial=100 | Throughput_p50=189.165 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:53:41,474 [INFO] online_logger: 2025-11-13 23:53:41 | Window=4 | Trial=104 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:53:55,443 [INFO] online_logger: 2025-11-14 11:48:12 | Window=4 | Trial=104 | Throughput_p50=189.152 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:54:51,759 [INFO] online_logger: 2025-11-13 23:54:51 | Window=4 | Trial=109 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:55:05,475 [INFO] online_logger: 2025-11-14 12:02:12 | Window=4 | Trial=109 | Throughput_p50=189.133 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:56:01,553 [INFO] online_logger: 2025-11-13 23:56:01 | Window=4 | Trial=112 | tx_power_dbm=23.97 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:56:15,395 [INFO] online_logger: 2025-11-14 12:16:12 | Window=4 | Trial=112 | Throughput_p50=188.958 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:56:56,045 [INFO] online_logger: 2025-11-13 23:56:56 | Window=4 | Trial=113 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:57:09,840 [INFO] online_logger: 2025-11-14 12:27:05 | Window=4 | Trial=113 | Throughput_p50=189.173 | Retry_p95=0.109 | Client_flags=0.000
2025-11-13 23:58:04,422 [INFO] online_logger: 2025-11-13 23:58:04 | Window=4 | Trial=114 | tx_power_dbm=17.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:58:18,256 [INFO] online_logger: 2025-11-14 12:40:46 | Window=4 | Trial=114 | Throughput_p50=186.919 | Retry_p95=3.579 | Client_flags=0.000
2025-11-13 23:58:59,982 [INFO] online_logger: 2025-11-13 23:58:59 | Window=4 | Trial=117 | tx_power_dbm=23.80 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-13 23:59:14,085 [INFO] online_logger: 2025-11-14 12:51:56 | Window=4 | Trial=117 | Throughput_p50=188.953 | Retry_p95=0.110 | Client_flags=0.000
2025-11-13 23:59:54,684 [INFO] online_logger: 2025-11-13 23:59:54 | Window=4 | Trial=118 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:00:08,506 [INFO] online_logger: 2025-11-14 13:02:49 | Window=4 | Trial=118 | Throughput_p50=189.170 | Retry_p95=0.109 | Client_flags=0.000
2025-11-14 00:01:02,655 [INFO] online_logger: 2025-11-14 00:01:02 | Window=4 | Trial=119 | tx_power_dbm=17.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:01:16,011 [INFO] online_logger: 2025-11-14 13:16:19 | Window=4 | Trial=119 | Throughput_p50=186.879 | Retry_p95=3.053 | Client_flags=0.000
2025-11-14 00:01:57,115 [INFO] online_logger: 2025-11-14 00:01:57 | Window=4 | Trial=121 | tx_power_dbm=23.66 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:02:10,488 [INFO] online_logger: 2025-11-14 13:27:13 | Window=4 | Trial=121 | Throughput_p50=188.928 | Retry_p95=0.110 | Client_flags=0.000
2025-11-14 00:02:51,692 [INFO] online_logger: 2025-11-14 00:02:51 | Window=4 | Trial=123 | tx_power_dbm=23.44 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:03:05,067 [INFO] online_logger: 2025-11-14 13:38:08 | Window=4 | Trial=123 | Throughput_p50=188.926 | Retry_p95=0.110 | Client_flags=0.000
2025-11-14 00:03:45,582 [INFO] online_logger: 2025-11-14 00:03:45 | Window=4 | Trial=124 | tx_power_dbm=30.00 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:03:58,948 [INFO] online_logger: 2025-11-14 13:48:54 | Window=4 | Trial=124 | Throughput_p50=189.149 | Retry_p95=0.109 | Client_flags=0.000
2025-11-14 00:06:23,930 [INFO] online_logger: 2025-11-14 00:06:23 | Window=5 | Trial=51 | tx_power_dbm=24.99 | obss_pd_dbm=-66.61 | ch_width=40
2025-11-14 00:06:37,336 [INFO] online_logger: 2025-11-14 14:20:35 | Window=5 | Trial=51 | Throughput_p50=188.360 | Retry_p95=59.174 | Client_flags=0.004
2025-11-14 00:07:20,092 [INFO] online_logger: 2025-11-14 00:07:20 | Window=5 | Trial=52 | tx_power_dbm=26.00 | obss_pd_dbm=-66.45 | ch_width=40
2025-11-14 00:07:33,780 [INFO] online_logger: 2025-11-14 14:31:52 | Window=5 | Trial=52 | Throughput_p50=188.438 | Retry_p95=11.079 | Client_flags=0.000
2025-11-14 00:08:33,192 [INFO] online_logger: 2025-11-14 00:08:33 | Window=5 | Trial=53 | tx_power_dbm=26.00 | obss_pd_dbm=-67.18 | ch_width=40
2025-11-14 00:08:47,478 [INFO] online_logger: 2025-11-14 14:46:37 | Window=5 | Trial=53 | Throughput_p50=188.402 | Retry_p95=12.611 | Client_flags=0.000
2025-11-14 00:09:48,054 [INFO] online_logger: 2025-11-14 00:09:48 | Window=5 | Trial=54 | tx_power_dbm=26.00 | obss_pd_dbm=-66.22 | ch_width=40
2025-11-14 00:10:02,185 [INFO] online_logger: 2025-11-14 15:01:33 | Window=5 | Trial=54 | Throughput_p50=188.446 | Retry_p95=11.421 | Client_flags=0.000
2025-11-14 00:11:02,605 [INFO] online_logger: 2025-11-14 00:11:02 | Window=5 | Trial=55 | tx_power_dbm=26.00 | obss_pd_dbm=-67.26 | ch_width=40
2025-11-14 00:11:16,861 [INFO] online_logger: 2025-11-14 15:16:29 | Window=5 | Trial=55 | Throughput_p50=188.397 | Retry_p95=13.595 | Client_flags=0.000
2025-11-14 00:12:13,824 [INFO] online_logger: 2025-11-14 00:12:13 | Window=5 | Trial=56 | tx_power_dbm=26.00 | obss_pd_dbm=-66.19 | ch_width=40
2025-11-14 00:12:27,567 [INFO] online_logger: 2025-11-14 15:30:38 | Window=5 | Trial=56 | Throughput_p50=188.489 | Retry_p95=10.265 | Client_flags=0.000
2025-11-14 00:13:24,254 [INFO] online_logger: 2025-11-14 00:13:24 | Window=5 | Trial=57 | tx_power_dbm=26.00 | obss_pd_dbm=-67.35 | ch_width=40
2025-11-14 00:13:38,173 [INFO] online_logger: 2025-11-14 15:44:45 | Window=5 | Trial=57 | Throughput_p50=188.376 | Retry_p95=13.316 | Client_flags=0.000
2025-11-14 00:14:33,557 [INFO] online_logger: 2025-11-14 00:14:33 | Window=5 | Trial=58 | tx_power_dbm=25.98 | obss_pd_dbm=-66.16 | ch_width=40
2025-11-14 00:14:47,529 [INFO] online_logger: 2025-11-14 15:58:37 | Window=5 | Trial=58 | Throughput_p50=188.461 | Retry_p95=11.286 | Client_flags=0.000
2025-11-14 00:15:42,831 [INFO] online_logger: 2025-11-14 00:15:42 | Window=5 | Trial=59 | tx_power_dbm=25.87 | obss_pd_dbm=-95.00 | ch_width=20
2025-11-14 00:15:56,639 [INFO] online_logger: 2025-11-14 16:12:26 | Window=5 | Trial=59 | Throughput_p50=54.966 | Retry_p95=89.140 | Client_flags=0.000
2025-11-14 00:16:51,750 [INFO] online_logger: 2025-11-14 00:16:51 | Window=5 | Trial=60 | tx_power_dbm=25.97 | obss_pd_dbm=-95.00 | ch_width=40
2025-11-14 00:17:05,502 [INFO] online_logger: 2025-11-14 16:26:13 | Window=5 | Trial=60 | Throughput_p50=109.610 | Retry_p95=89.143 | Client_flags=0.000
2025-11-14 00:18:00,722 [INFO] online_logger: 2025-11-14 00:18:00 | Window=5 | Trial=61 | tx_power_dbm=23.56 | obss_pd_dbm=-62.00 | ch_width=40
2025-11-14 00:18:14,607 [INFO] online_logger: 2025-11-14 16:40:02 | Window=5 | Trial=61 | Throughput_p50=188.922 | Retry_p95=0.110 | Client_flags=0.000
2025-11-14 00:18:55,589 [INFO] online_logger: 2025-11-14 00:18:55 | Window=5 | Trial=62 | tx_power_dbm=23.77 | obss_pd_dbm=-63.69 | ch_width=40
2025-11-14 00:19:09,522 [INFO] online_logger: 2025-11-14 16:51:01 | Window=5 | Trial=62 | Throughput_p50=188.670 | Retry_p95=15.033 | Client_flags=0.000
2025-11-14 00:21:09,327 [INFO] online_logger: 2025-11-14 00:21:09 | Window=6 | Trial=51 | tx_power_dbm=24.50 | obss_pd_dbm=-62.14 | ch_width=40
2025-11-14 00:21:24,085 [INFO] online_logger: 2025-11-14 17:17:56 | Window=6 | Trial=51 | Throughput_p50=188.987 | Retry_p95=0.110 | Client_flags=0.000
2025-11-14 00:22:04,868 [INFO] online_logger: 2025-11-14 00:22:04 | Window=6 | Trial=52 | tx_power_dbm=25.05 | obss_pd_dbm=-74.73 | ch_width=40
2025-11-14 00:22:18,862 [INFO] online_logger: 2025-11-14 17:28:53 | Window=6 | Trial=52 | Throughput_p50=186.103 | Retry_p95=91.861 | Client_flags=0.009
2025-11-14 00:23:13,652 [INFO] online_logger: 2025-11-14 00:23:13 | Window=6 | Trial=53 | tx_power_dbm=24.47 | obss_pd_dbm=-70.13 | ch_width=40
2025-11-14 00:23:27,192 [INFO] online_logger: 2025-11-14 17:42:33 | Window=6 | Trial=53 | Throughput_p50=188.188 | Retry_p95=87.549 | Client_flags=0.030
