2025-11-13 22:49:01,416 [INFO] offlline_simulations: 2025-11-13 22:49:24 | Window=0 | Trial=1 | tx_power_dbm=29.62 | obss_pd_dbm=-73.81 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:11,511 [INFO] offlline_simulations: 2025-11-13 22:51:25 | Window=0 | Trial=12 | tx_power_dbm=25.90 | obss_pd_dbm=-90.55 | ch_width=20 | Throughput_p50=46.753 | Retry_p95=0.763 | Client_flags=0.040
2025-11-13 22:49:12,740 [INFO] offlline_simulations: 2025-11-13 22:51:40 | Window=0 | Trial=13 | tx_power_dbm=25.36 | obss_pd_dbm=-79.28 | ch_width=20 | Throughput_p50=52.807 | Retry_p95=3.620 | Client_flags=0.040
2025-11-13 22:49:13,855 [INFO] offlline_simulations: 2025-11-13 22:51:53 | Window=0 | Trial=14 | tx_power_dbm=25.20 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=69.680 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:14,670 [INFO] offlline_simulations: 2025-11-13 22:52:03 | Window=0 | Trial=15 | tx_power_dbm=24.95 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=86.553 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:15,495 [INFO] offlline_simulations: 2025-11-13 22:52:13 | Window=0 | Trial=16 | tx_power_dbm=24.42 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:16,352 [INFO] offlline_simulations: 2025-11-13 22:52:23 | Window=0 | Trial=17 | tx_power_dbm=23.93 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:17,336 [INFO] offlline_simulations: 2025-11-13 22:52:35 | Window=0 | Trial=18 | tx_power_dbm=23.22 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:18,168 [INFO] offlline_simulations: 2025-11-13 22:52:45 | Window=0 | Trial=19 | tx_power_dbm=22.07 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:19,336 [INFO] offlline_simulations: 2025-11-13 22:52:59 | Window=0 | Trial=20 | tx_power_dbm=20.74 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:20,281 [INFO] offlline_simulations: 2025-11-13 22:53:10 | Window=0 | Trial=21 | tx_power_dbm=18.19 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:21,193 [INFO] offlline_simulations: 2025-11-13 22:53:21 | Window=0 | Trial=22 | tx_power_dbm=17.00 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:22,203 [INFO] offlline_simulations: 2025-11-13 22:53:33 | Window=0 | Trial=23 | tx_power_dbm=19.53 | obss_pd_dbm=-62.98 | ch_width=20 | Throughput_p50=97.373 | Retry_p95=99.900 | Client_flags=0.080
2025-11-13 22:49:23,225 [INFO] offlline_simulations: 2025-11-13 22:53:45 | Window=0 | Trial=24 | tx_power_dbm=21.45 | obss_pd_dbm=-80.89 | ch_width=20 | Throughput_p50=77.902 | Retry_p95=99.900 | Client_flags=0.280
2025-11-13 22:49:24,196 [INFO] offlline_simulations: 2025-11-13 22:53:57 | Window=0 | Trial=25 | tx_power_dbm=17.66 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=110.360 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:25,013 [INFO] offlline_simulations: 2025-11-13 22:54:07 | Window=0 | Trial=26 | tx_power_dbm=23.32 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=142.817 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:25,967 [INFO] offlline_simulations: 2025-11-13 22:54:18 | Window=0 | Trial=27 | tx_power_dbm=22.75 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:26,808 [INFO] offlline_simulations: 2025-11-13 22:54:28 | Window=0 | Trial=28 | tx_power_dbm=22.38 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:27,710 [INFO] offlline_simulations: 2025-11-13 22:54:39 | Window=0 | Trial=29 | tx_power_dbm=22.13 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:28,632 [INFO] offlline_simulations: 2025-11-13 22:54:50 | Window=0 | Trial=30 | tx_power_dbm=21.88 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:29,578 [INFO] offlline_simulations: 2025-11-13 22:55:02 | Window=0 | Trial=31 | tx_power_dbm=21.56 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:31,033 [INFO] offlline_simulations: 2025-11-13 22:55:19 | Window=0 | Trial=32 | tx_power_dbm=21.29 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:32,425 [INFO] offlline_simulations: 2025-11-13 22:55:36 | Window=0 | Trial=33 | tx_power_dbm=21.90 | obss_pd_dbm=-62.39 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:33,669 [INFO] offlline_simulations: 2025-11-13 22:55:51 | Window=0 | Trial=34 | tx_power_dbm=22.02 | obss_pd_dbm=-63.90 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=29.469 | Client_flags=0.000
2025-11-13 22:49:35,166 [INFO] offlline_simulations: 2025-11-13 22:56:09 | Window=0 | Trial=35 | tx_power_dbm=20.50 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:36,405 [INFO] offlline_simulations: 2025-11-13 22:56:24 | Window=0 | Trial=36 | tx_power_dbm=20.87 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:37,765 [INFO] offlline_simulations: 2025-11-13 22:56:40 | Window=0 | Trial=37 | tx_power_dbm=22.27 | obss_pd_dbm=-67.32 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=99.900 | Client_flags=0.080
2025-11-13 22:49:39,204 [INFO] offlline_simulations: 2025-11-13 22:56:57 | Window=0 | Trial=38 | tx_power_dbm=22.62 | obss_pd_dbm=-62.75 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=7.919 | Client_flags=0.000
2025-11-13 22:49:40,346 [INFO] offlline_simulations: 2025-11-13 22:57:11 | Window=0 | Trial=39 | tx_power_dbm=21.92 | obss_pd_dbm=-76.56 | ch_width=40 | Throughput_p50=173.107 | Retry_p95=99.900 | Client_flags=0.160
2025-11-13 22:49:41,393 [INFO] offlline_simulations: 2025-11-13 22:57:23 | Window=0 | Trial=40 | tx_power_dbm=23.39 | obss_pd_dbm=-95.00 | ch_width=20 | Throughput_p50=121.179 | Retry_p95=94.643 | Client_flags=0.120
2025-11-13 22:49:42,765 [INFO] offlline_simulations: 2025-11-13 22:57:40 | Window=0 | Trial=41 | tx_power_dbm=19.89 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=121.179 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:44,261 [INFO] offlline_simulations: 2025-11-13 22:57:58 | Window=0 | Trial=42 | tx_power_dbm=20.64 | obss_pd_dbm=-62.59 | ch_width=40 | Throughput_p50=142.817 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:45,912 [INFO] offlline_simulations: 2025-11-13 22:58:18 | Window=0 | Trial=43 | tx_power_dbm=20.30 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:47,309 [INFO] offlline_simulations: 2025-11-13 22:58:34 | Window=0 | Trial=44 | tx_power_dbm=21.78 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:48,399 [INFO] offlline_simulations: 2025-11-13 22:58:48 | Window=0 | Trial=45 | tx_power_dbm=21.78 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:49,509 [INFO] offlline_simulations: 2025-11-13 22:59:01 | Window=0 | Trial=46 | tx_power_dbm=21.78 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:50,577 [INFO] offlline_simulations: 2025-11-13 22:59:14 | Window=0 | Trial=47 | tx_power_dbm=21.78 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:51,765 [INFO] offlline_simulations: 2025-11-13 22:59:28 | Window=0 | Trial=48 | tx_power_dbm=21.79 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:52,881 [INFO] offlline_simulations: 2025-11-13 22:59:41 | Window=0 | Trial=49 | tx_power_dbm=21.79 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 22:49:54,094 [INFO] offlline_simulations: 2025-11-13 22:59:56 | Window=0 | Trial=50 | tx_power_dbm=21.79 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:25,058 [INFO] offlline_simulations: 2025-11-14 01:54:07 | Window=1 | Trial=1 | tx_power_dbm=17.88 | obss_pd_dbm=-83.22 | ch_width=40 | Throughput_p50=0.031 | Retry_p95=99.900 | Client_flags=0.560
2025-11-13 23:04:25,399 [INFO] offlline_simulations: 2025-11-14 01:54:12 | Window=1 | Trial=2 | tx_power_dbm=25.83 | obss_pd_dbm=-85.90 | ch_width=40 | Throughput_p50=46.769 | Retry_p95=0.958 | Client_flags=0.040
2025-11-13 23:04:25,821 [INFO] offlline_simulations: 2025-11-14 01:54:17 | Window=1 | Trial=3 | tx_power_dbm=25.53 | obss_pd_dbm=-82.64 | ch_width=20 | Throughput_p50=46.764 | Retry_p95=2.292 | Client_flags=0.040
2025-11-13 23:04:26,236 [INFO] offlline_simulations: 2025-11-14 01:54:22 | Window=1 | Trial=4 | tx_power_dbm=20.20 | obss_pd_dbm=-77.45 | ch_width=20 | Throughput_p50=66.234 | Retry_p95=99.900 | Client_flags=0.280
2025-11-13 23:04:26,594 [INFO] offlline_simulations: 2025-11-14 01:54:26 | Window=1 | Trial=5 | tx_power_dbm=28.96 | obss_pd_dbm=-68.02 | ch_width=20 | Throughput_p50=67.522 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:26,961 [INFO] offlline_simulations: 2025-11-14 01:54:30 | Window=1 | Trial=6 | tx_power_dbm=26.22 | obss_pd_dbm=-68.43 | ch_width=20 | Throughput_p50=84.396 | Retry_p95=0.204 | Client_flags=0.000
2025-11-13 23:04:27,322 [INFO] offlline_simulations: 2025-11-14 01:54:35 | Window=1 | Trial=7 | tx_power_dbm=18.87 | obss_pd_dbm=-65.47 | ch_width=40 | Throughput_p50=129.830 | Retry_p95=99.900 | Client_flags=0.160
2025-11-13 23:04:27,688 [INFO] offlline_simulations: 2025-11-14 01:54:39 | Window=1 | Trial=8 | tx_power_dbm=29.90 | obss_pd_dbm=-75.22 | ch_width=20 | Throughput_p50=129.830 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:28,258 [INFO] offlline_simulations: 2025-11-14 01:54:46 | Window=1 | Trial=9 | tx_power_dbm=22.29 | obss_pd_dbm=-72.42 | ch_width=40 | Throughput_p50=162.288 | Retry_p95=99.900 | Client_flags=0.080
2025-11-13 23:04:28,640 [INFO] offlline_simulations: 2025-11-14 01:54:50 | Window=1 | Trial=10 | tx_power_dbm=20.93 | obss_pd_dbm=-62.97 | ch_width=40 | Throughput_p50=162.288 | Retry_p95=95.341 | Client_flags=0.080
2025-11-13 23:04:30,643 [INFO] offlline_simulations: 2025-11-14 01:55:14 | Window=1 | Trial=11 | tx_power_dbm=25.88 | obss_pd_dbm=-74.40 | ch_width=20 | Throughput_p50=162.288 | Retry_p95=0.632 | Client_flags=0.000
2025-11-13 23:04:31,833 [INFO] offlline_simulations: 2025-11-14 01:55:29 | Window=1 | Trial=12 | tx_power_dbm=25.84 | obss_pd_dbm=-74.23 | ch_width=40 | Throughput_p50=162.288 | Retry_p95=0.736 | Client_flags=0.000
2025-11-13 23:04:33,303 [INFO] offlline_simulations: 2025-11-14 01:55:46 | Window=1 | Trial=13 | tx_power_dbm=25.84 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=162.288 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:34,646 [INFO] offlline_simulations: 2025-11-14 01:56:03 | Window=1 | Trial=14 | tx_power_dbm=25.66 | obss_pd_dbm=-73.07 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=1.251 | Client_flags=0.000
2025-11-13 23:04:36,623 [INFO] offlline_simulations: 2025-11-14 01:56:26 | Window=1 | Trial=15 | tx_power_dbm=25.68 | obss_pd_dbm=-95.00 | ch_width=20 | Throughput_p50=145.414 | Retry_p95=1.465 | Client_flags=0.040
2025-11-13 23:04:38,946 [INFO] offlline_simulations: 2025-11-14 01:56:54 | Window=1 | Trial=16 | tx_power_dbm=25.98 | obss_pd_dbm=-71.90 | ch_width=40 | Throughput_p50=145.414 | Retry_p95=0.466 | Client_flags=0.000
2025-11-13 23:04:41,356 [INFO] offlline_simulations: 2025-11-14 01:57:23 | Window=1 | Trial=17 | tx_power_dbm=25.43 | obss_pd_dbm=-62.00 | ch_width=20 | Throughput_p50=112.957 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:43,699 [INFO] offlline_simulations: 2025-11-14 01:57:51 | Window=1 | Trial=18 | tx_power_dbm=25.92 | obss_pd_dbm=-95.00 | ch_width=40 | Throughput_p50=128.541 | Retry_p95=0.721 | Client_flags=0.040
2025-11-13 23:04:45,734 [INFO] offlline_simulations: 2025-11-14 01:58:16 | Window=1 | Trial=19 | tx_power_dbm=25.95 | obss_pd_dbm=-91.26 | ch_width=20 | Throughput_p50=79.211 | Retry_p95=0.644 | Client_flags=0.040
2025-11-13 23:04:47,223 [INFO] offlline_simulations: 2025-11-14 01:58:33 | Window=1 | Trial=20 | tx_power_dbm=25.11 | obss_pd_dbm=-72.71 | ch_width=20 | Throughput_p50=79.211 | Retry_p95=5.764 | Client_flags=0.000
2025-11-13 23:04:49,466 [INFO] offlline_simulations: 2025-11-14 01:59:00 | Window=1 | Trial=21 | tx_power_dbm=25.99 | obss_pd_dbm=-75.67 | ch_width=40 | Throughput_p50=91.319 | Retry_p95=0.580 | Client_flags=0.040
2025-11-13 23:04:52,249 [INFO] offlline_simulations: 2025-11-14 01:59:34 | Window=1 | Trial=22 | tx_power_dbm=25.99 | obss_pd_dbm=-69.27 | ch_width=40 | Throughput_p50=140.649 | Retry_p95=0.450 | Client_flags=0.000
2025-11-13 23:04:54,701 [INFO] offlline_simulations: 2025-11-14 02:00:03 | Window=1 | Trial=23 | tx_power_dbm=25.99 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=173.107 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:57,061 [INFO] offlline_simulations: 2025-11-14 02:00:32 | Window=1 | Trial=24 | tx_power_dbm=25.99 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:04:59,535 [INFO] offlline_simulations: 2025-11-14 02:01:01 | Window=1 | Trial=25 | tx_power_dbm=25.99 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:02,295 [INFO] offlline_simulations: 2025-11-14 02:01:34 | Window=1 | Trial=26 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:04,465 [INFO] offlline_simulations: 2025-11-14 02:02:00 | Window=1 | Trial=27 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:06,577 [INFO] offlline_simulations: 2025-11-14 02:02:26 | Window=1 | Trial=28 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:09,490 [INFO] offlline_simulations: 2025-11-14 02:03:01 | Window=1 | Trial=29 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:12,281 [INFO] offlline_simulations: 2025-11-14 02:03:34 | Window=1 | Trial=30 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:15,042 [INFO] offlline_simulations: 2025-11-14 02:04:07 | Window=1 | Trial=31 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:17,125 [INFO] offlline_simulations: 2025-11-14 02:04:32 | Window=1 | Trial=32 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:19,702 [INFO] offlline_simulations: 2025-11-14 02:05:03 | Window=1 | Trial=33 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:21,932 [INFO] offlline_simulations: 2025-11-14 02:05:30 | Window=1 | Trial=34 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:24,572 [INFO] offlline_simulations: 2025-11-14 02:06:02 | Window=1 | Trial=35 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:27,361 [INFO] offlline_simulations: 2025-11-14 02:06:35 | Window=1 | Trial=36 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:30,141 [INFO] offlline_simulations: 2025-11-14 02:07:08 | Window=1 | Trial=37 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:33,016 [INFO] offlline_simulations: 2025-11-14 02:07:43 | Window=1 | Trial=38 | tx_power_dbm=26.00 | obss_pd_dbm=-62.00 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:34,959 [INFO] offlline_simulations: 2025-11-14 02:08:06 | Window=1 | Trial=39 | tx_power_dbm=26.00 | obss_pd_dbm=-63.12 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:37,507 [INFO] offlline_simulations: 2025-11-14 02:08:37 | Window=1 | Trial=40 | tx_power_dbm=26.00 | obss_pd_dbm=-63.25 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:40,113 [INFO] offlline_simulations: 2025-11-14 02:09:08 | Window=1 | Trial=41 | tx_power_dbm=26.00 | obss_pd_dbm=-63.01 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:42,456 [INFO] offlline_simulations: 2025-11-14 02:09:36 | Window=1 | Trial=42 | tx_power_dbm=26.00 | obss_pd_dbm=-62.92 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:44,825 [INFO] offlline_simulations: 2025-11-14 02:10:05 | Window=1 | Trial=43 | tx_power_dbm=26.00 | obss_pd_dbm=-62.86 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:47,458 [INFO] offlline_simulations: 2025-11-14 02:10:36 | Window=1 | Trial=44 | tx_power_dbm=26.00 | obss_pd_dbm=-62.83 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:49,244 [INFO] offlline_simulations: 2025-11-14 02:10:58 | Window=1 | Trial=45 | tx_power_dbm=26.00 | obss_pd_dbm=-63.15 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:51,982 [INFO] offlline_simulations: 2025-11-14 02:11:31 | Window=1 | Trial=46 | tx_power_dbm=26.00 | obss_pd_dbm=-62.77 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:53,745 [INFO] offlline_simulations: 2025-11-14 02:11:52 | Window=1 | Trial=47 | tx_power_dbm=26.00 | obss_pd_dbm=-62.76 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:57,189 [INFO] offlline_simulations: 2025-11-14 02:12:33 | Window=1 | Trial=48 | tx_power_dbm=26.00 | obss_pd_dbm=-64.01 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:05:59,886 [INFO] offlline_simulations: 2025-11-14 02:13:05 | Window=1 | Trial=49 | tx_power_dbm=26.00 | obss_pd_dbm=-63.55 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:06:02,569 [INFO] offlline_simulations: 2025-11-14 02:13:38 | Window=1 | Trial=50 | tx_power_dbm=26.00 | obss_pd_dbm=-63.44 | ch_width=40 | Throughput_p50=194.745 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:19:42,564 [INFO] offlline_simulations: 2025-11-14 04:57:38 | Window=2 | Trial=1 | tx_power_dbm=22.32 | obss_pd_dbm=-85.80 | ch_width=40 | Throughput_p50=70.130 | Retry_p95=99.900 | Client_flags=0.200
2025-11-13 23:19:42,948 [INFO] offlline_simulations: 2025-11-14 04:57:42 | Window=2 | Trial=2 | tx_power_dbm=27.64 | obss_pd_dbm=-89.93 | ch_width=40 | Throughput_p50=87.033 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:19:43,356 [INFO] offlline_simulations: 2025-11-14 04:57:47 | Window=2 | Trial=3 | tx_power_dbm=23.25 | obss_pd_dbm=-89.46 | ch_width=40 | Throughput_p50=83.996 | Retry_p95=97.807 | Client_flags=0.160
2025-11-13 23:19:43,757 [INFO] offlline_simulations: 2025-11-14 04:57:52 | Window=2 | Trial=4 | tx_power_dbm=20.60 | obss_pd_dbm=-82.76 | ch_width=20 | Throughput_p50=70.565 | Retry_p95=99.900 | Client_flags=0.360
2025-11-13 23:19:44,240 [INFO] offlline_simulations: 2025-11-14 04:57:58 | Window=2 | Trial=5 | tx_power_dbm=27.42 | obss_pd_dbm=-77.39 | ch_width=20 | Throughput_p50=57.558 | Retry_p95=0.100 | Client_flags=0.000
2025-11-13 23:19:44,653 [INFO] offlline_simulations: 2025-11-14 04:58:03 | Window=2 | Trial=6 | tx_power_dbm=25.61 | obss_pd_dbm=-95.00 | ch_width=20 | Throughput_p50=47.169 | Retry_p95=1.799 | Client_flags=0.040
2025-11-13 23:19:45,030 [INFO] offlline_simulations: 2025-11-14 04:58:07 | Window=2 | Trial=7 | tx_power_dbm=25.63 | obss_pd_dbm=-80.30 | ch_width=40 | Throughput_p50=71.868 | Retry_p95=1.758 | Client_flags=0.040
