"No.","Time","Source","Destination","Protocol","Length","Info","rssi"
"109","1.270912","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=981, FN=0, Flags=.p....F.",""
"110","1.270975","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-44,-41,-83,-83"
"116","1.314083","ASUSTekCOMPU_a8:18:d4","Intel_ec:d9:61","802.11","97","Data, SN=2509, FN=0, Flags=.p....F.",""
"117","1.314148","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-55,-41,-83,-83"
"118","1.332758","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=982, FN=0, Flags=.p....F.",""
"119","1.332837","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"121","1.352394","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=917, FN=0, Flags=.pm...F.","-80,-91,-88,-83,-83"
"123","1.392673","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=983, FN=0, Flags=.p....F.",""
"124","1.392749","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-47,-41,-83,-83"
"126","1.413053","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=984, FN=0, Flags=.p....F.",""
"127","1.413126","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"131","1.475399","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"132","1.475369","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=985, FN=0, Flags=.p....F.",""
"134","1.535430","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=986, FN=0, Flags=.p....F.",""
"135","1.535513","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"137","1.585378","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=931, FN=0, Flags=.pm...F.","-77,-83,-82,-83,-83"
"138","1.605578","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"139","1.605538","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=987, FN=0, Flags=.p....F.",""
"141","1.619796","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=988, FN=0, Flags=.p....F.",""
"142","1.619874","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"144","1.624185","ASUSTekCOMPU_a8:18:d4","Intel_ec:d9:61","802.11","158","Data, SN=2510, FN=0, Flags=.p....F.",""
"145","1.624231","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-56,-42,-83,-83"
"147","1.667337","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=937, FN=0, Flags=.p....F.","-76,-80,-80,-83,-83"
"149","1.679336","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=989, FN=0, Flags=.p....F.",""
"150","1.679411","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-46,-41,-83,-83"
"152","1.747562","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=990, FN=0, Flags=.p....F.",""
"153","1.747648","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"157","1.811496","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=991, FN=0, Flags=.p....F.",""
"158","1.811584","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-48,-41,-83,-83"
"159","1.833673","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=992, FN=0, Flags=.p....F.",""
"160","1.833749","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"162","1.868310","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=947, FN=0, Flags=.pm...F.","-78,-89,-82,-83,-83"
"163","1.877186","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=993, FN=0, Flags=.p....F.",""
"164","1.877270","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-44,-41,-83,-83"
"165","1.883877","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","85","Data, SN=1450, FN=0, Flags=.p....F.",""
"166","1.883937","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-51,-53,-55,-83,-83"
"167","1.889202","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=994, FN=0, Flags=.p....F.",""
"168","1.889279","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"170","1.901198","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","85","Data, SN=1451, FN=0, Flags=.p....F.",""
"171","1.901266","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-49,-50,-56,-83,-83"
"173","1.921038","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=995, FN=0, Flags=.p....F.",""
"174","1.921115","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-46,-41,-83,-83"
"176","1.932142","1a:af:f1:4b:4d:7f","Broadcast","ARP","138","Who has 10.201.6.80? Tell 10.201.3.61","-79,-91,-86,-83,-83"
"177","1.976573","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-46,-41,-83,-83"
"178","1.976541","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=996, FN=0, Flags=.p....F.",""
"179","2.025630","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","200","Data, SN=1452, FN=0, Flags=.p....F.",""
"180","2.025698","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-50,-50,-57,-83,-83"
"182","2.042240","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","121","Data, SN=1453, FN=0, Flags=.p....F.",""
"183","2.042304","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-50,-50,-57,-83,-83"
"184","2.060210","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-46,-41,-83,-83"
"185","2.060179","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=997, FN=0, Flags=.p....F.",""
"187","2.062702","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=998, FN=0, Flags=.p....F.",""
"188","2.062785","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"190","2.094903","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=999, FN=0, Flags=.p....F.",""
"191","2.094981","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"193","2.174834","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1000, FN=0, Flags=.p....F.",""
"194","2.174923","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"196","2.180836","","MotorolaMobi_30:ff:96","802.11","70","Acknowledgement, Flags=........","-79,-89,-86,-83,-83"
"197","2.203762","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","179","Data, SN=1001, FN=0, Flags=.p....F.",""
"198","2.203818","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-43,-44,-83,-83"
"200","2.236390","","a6:df:48:87:fa:45","802.11","70","Acknowledgement, Flags=........","-77,-82,-83,-83,-83"
"201","2.236872","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1002, FN=0, Flags=.p....F.",""
"202","2.236921","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"203","2.237191","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1003, FN=0, Flags=.p....F.",""
"204","2.237266","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"206","2.267885","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1004, FN=0, Flags=.p....F.",""
"207","2.267961","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-47,-42,-83,-83"
"209","2.269366","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1005, FN=0, Flags=.p....F.",""
"210","2.269445","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"211","2.269678","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1006, FN=0, Flags=.p....F.",""
"212","2.269749","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-42,-83,-83"
"214","2.281031","Ubiquiti_8b:44:1d","Broadcast","802.11","236","Data, SN=981, FN=0, Flags=.pm...F.","-77,-86,-80,-83,-83"
"215","2.286287","KramerElectr_06:f8:c3","Broadcast","802.11","327","Data, SN=984, FN=0, Flags=.pm...F.","-78,-87,-82,-83,-83"
"217","2.346258","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1007, FN=0, Flags=.p....F.",""
"218","2.346335","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-45,-41,-83,-83"
"221","2.354431","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=1008, FN=0, Flags=.p....F.",""
"222","2.354492","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-44,-41,-83,-83"
"223","2.377777","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=986, FN=0, Flags=.pm...F.","-78,-85,-82,-83,-83"
"224","2.378883","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1009, FN=0, Flags=.p....F.",""
"225","2.378947","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"226","2.379431","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"227","2.379412","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1010, FN=0, Flags=.p....F.",""
"230","2.411205","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1011, FN=0, Flags=.p....F.",""
"231","2.411273","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-39,-43,-41,-83,-83"
"232","2.411663","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"233","2.411644","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1012, FN=0, Flags=.p....F.",""
"235","2.461113","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","112","Data, SN=817, FN=0, Flags=.p....F.",""
"236","2.461181","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"237","2.480791","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=991, FN=0, Flags=.pm...F.","-77,-84,-81,-83,-83"
"238","2.489977","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","97","Data, SN=1013, FN=0, Flags=.p....F.",""
"239","2.490036","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"240","2.490874","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-46,-43,-83,-83"
"241","2.490852","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","767","Data, SN=1014, FN=0, Flags=.p....F.",""
"243","2.520755","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1015, FN=0, Flags=.p....F.",""
"244","2.520827","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"247","2.561863","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1016, FN=0, Flags=.p....F.",""
"248","2.561939","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-47,-42,-83,-83"
"249","2.562208","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1017, FN=0, Flags=.p....F.",""
"250","2.562263","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"252","2.574506","10.201.2.16","10.201.7.255","UDP","138","52903  >  3289 Len=14","-80,-92,-88,-83,-83"
"253","2.589320","Ubiquiti_8b:44:1d","Broadcast","802.11","190","Data, SN=997, FN=0, Flags=.pm...F.","-78,-88,-83,-83,-83"
"254","2.593233","Cisco_54:5a:48","IPv4mcast_7f:ff:fa","802.11","261","Data, SN=998, FN=0, Flags=.pm...F.","-78,-85,-83,-83,-83"
"257","2.630845","ASUSTekCOMPU_a8:18:d4","Intel_ec:d9:61","802.11","97","Data, SN=2511, FN=0, Flags=.p....F.",""
"258","2.630902","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-53,-42,-83,-83"
"259","2.674616","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1018, FN=0, Flags=.p....F.",""
"260","2.674697","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-45,-43,-83,-83"
"262","2.690470","Cisco_54:5a:48","IPv4mcast_7e:7f:3f","802.11","224","Data, SN=1004, FN=0, Flags=.pm...F.","-78,-86,-82,-83,-83"
"263","2.690809","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1019, FN=0, Flags=.p....F.",""
"264","2.690861","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-40,-46,-41,-83,-83"
"267","2.703404","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1020, FN=0, Flags=.p....F.",""
"268","2.703478","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-47,-42,-83,-83"
"270","2.713253","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=1021, FN=0, Flags=.p....F.",""
"271","2.713327","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-42,-47,-43,-83,-83"
"274","2.726216","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=818, FN=0, Flags=.p....F.",""
"275","2.726275","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-41,-46,-42,-83,-83"
"277","2.735092","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","109","Data, SN=1454, FN=0, Flags=.p....F.",""
"278","2.735158","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-52,-55,-54,-83,-83"
"280","2.773799","ASUSTekCOMPU_a8:18:d4","Intel_ee:91:43","802.11","97","Data, SN=1455, FN=0, Flags=.p....F.",""
